// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B44109
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
58398	9.522045	-0.072839	-2.404407	-0.001795	0.001970	-0.002145	0.246386	0.002364	0.969169	0.040915	-0.999131	-0.007964	0.968308	0.041615	-0.246269
58399	9.535650	-0.092482	-2.408436	0.000073	0.002514	-0.001983	0.246381	0.002365	0.969170	0.040916	-0.999131	-0.007964	0.968309	0.041617	-0.246264
58400	9.521309	-0.078082	-2.380137	0.001978	0.004315	-0.002814	0.246358	0.002373	0.969176	0.040937	-0.999130	-0.007960	0.968314	0.041636	-0.246241
58401	9.523143	-0.066559	-2.427275	-0.006664	0.002542	-0.000072	0.246354	0.002354	0.969177	0.040869	-0.999133	-0.007962	0.968318	0.041570	-0.246236
58402	9.535871	-0.091857	-2.407586	0.000640	0.001684	-0.003181	0.246354	0.002367	0.969177	0.040876	-0.999133	-0.007951	0.968318	0.041575	-0.246237
58403	9.503859	-0.073560	-2.454373	0.003243	0.004432	-0.000464	0.246331	0.002351	0.969183	0.040905	-0.999131	-0.007973	0.968322	0.041608	-0.246213
58404	9.502150	-0.084858	-2.406737	0.000566	-0.000830	-0.001197	0.246357	0.002345	0.969176	0.040909	-0.999131	-0.007981	0.968315	0.041614	-0.246239
58405	9.557177	-0.072866	-2.426912	0.000073	0.002514	-0.001984	0.246352	0.002345	0.969178	0.040910	-0.999131	-0.007981	0.968317	0.041615	-0.246234
58406	9.503979	-0.073148	-2.453921	0.000640	0.001684	-0.003181	0.246355	0.002358	0.969177	0.040920	-0.999131	-0.007971	0.968315	0.041622	-0.246237
58407	9.556373	-0.078021	-2.402905	-0.001265	-0.000117	-0.002350	0.246375	0.002363	0.969172	0.040909	-0.999131	-0.007963	0.968311	0.041610	-0.246258
58408	9.502301	-0.083991	-2.406171	-0.000456	0.004601	-0.001778	0.246348	0.002361	0.969178	0.040904	-0.999131	-0.007964	0.968318	0.041605	-0.246231
58409	9.509064	-0.051016	-2.397953	0.000530	-0.002087	-0.000206	0.246389	0.002345	0.969168	0.040906	-0.999131	-0.007982	0.968307	0.041611	-0.246271
58410	9.523512	-0.065162	-2.425863	-0.000493	0.003344	-0.000786	0.246373	0.002333	0.969172	0.040898	-0.999131	-0.007991	0.968312	0.041606	-0.246255
58411	9.502397	-0.083604	-2.405806	-0.003096	0.000596	-0.003504	0.246386	0.002350	0.969169	0.040872	-0.999133	-0.007969	0.968309	0.041575	-0.246269
58412	9.536272	-0.090109	-2.406064	-0.001795	0.001970	-0.002145	0.246389	0.002352	0.969168	0.040856	-0.999133	-0.007962	0.968310	0.041558	-0.246271
58413	9.502461	-0.083056	-2.405573	0.000603	0.000427	-0.002189	0.246404	0.002355	0.969164	0.040863	-0.999133	-0.007961	0.968305	0.041564	-0.246286
